,date,text,followers,polarity,sentiment_confidence,clusters,difference
52,2018-02-25 04:40:11,b'I liked a @YouTube video https://t.co/wMdcFvIOzE Microsoft Reportedly Sign A Huge Studio To An Xbox One Deal! This Could Be EPIC!',86,0.4083333333333334,0.7000000000000001,2,5.6941354712039095e-05
53,2018-02-25 04:40:04,b'RT @MikeTamir: \xe2\x80\x9cAutonomous Driving using End-to-End Deep Learning: an AirSim tutorial\xe2\x80\x9d https://t.co/iuKFQMsBWs #AI #DeepLearning #MachineLe\xe2\x80\xa6',5365,0.0,0.4,0,0.0
54,2018-02-25 04:39:48,"b'RT @gfernandoamb: When Microsoft CEO Satya Nadella was a kid growing up in Hyderabad, India his father couldn\xe2\x80\x99t believe how poor his grades\xe2\x80\xa6'",7475,-0.4,0.6,4,-0.004155649482137016
55,2018-02-25 04:39:43,b'What!? ...but Microsoft! https://t.co/DI2uP39kjX',950,0.0,0.0,3,0.0
56,2018-02-25 04:39:37,b'RT @Xbox: The battle just got a little more royale. \nFortnite is Xbox One X Enhanced with 4K and 60fps gameplay. https://t.co/DhxWktSo2Y ht\xe2\x80\xa6',280,0.15625,0.5,0,5.067158997867739e-05
57,2018-02-25 04:39:36,"b'RT @Xbox: We really like those space suits in the newest season of Fortnite Battle Pass, but we lovvvvve those pop &amp; lock emotes. https://t\xe2\x80\xa6'",629,0.2,0.2,0,5.828101503376107e-05
58,2018-02-25 04:39:33,b'RT @MikeTamir: \xe2\x80\x9cAutonomous Driving using End-to-End Deep Learning: an AirSim tutorial\xe2\x80\x9d https://t.co/iuKFQMsBWs #AI #DeepLearning #MachineLe\xe2\x80\xa6',1117,0.0,0.4,0,0.0
59,2018-02-25 04:39:19,b'Infrastructure as Code https://t.co/h2rilbUZMP #coding #softwaredevelopment #programming https://t.co/GkdWeqaq2K',1330,0.0,0.0,3,0.0
60,2018-02-25 04:38:55,"b'RT @girlposts: ""This teacher deserves an award. He was teaching about Microsoft Word without... you know, computer."" https://t.co/AHKMHusnwV'",1587,0.0,0.0,3,0.0
61,2018-02-25 04:38:54,b'RT @Xbox: The battle just got a little more royale. \nFortnite is Xbox One X Enhanced with 4K and 60fps gameplay. https://t.co/DhxWktSo2Y ht\xe2\x80\xa6',629,0.15625,0.5,0,0.00011383010748781456
62,2018-02-25 04:38:47,"b""RT @NCCE_EdTech: Windows 10 'Redstone 5:' What to expect in Microsoft's next big OS update https://t.co/aZBdfaaQnB""",97,0.0,0.05,3,0.0
63,2018-02-25 04:38:44,b'RT @kubernan: Parallels Toolbox 1.5 for Windows is out with new features to help you be more productive https://t.co/7Wvddvb9fI #Microsoft',2,0.3181818181818182,0.4772727272727273,0,7.035394311089092e-07
64,2018-02-25 04:38:29,"b'RT @girlposts: ""This teacher deserves an award. He was teaching about Microsoft Word without... you know, computer."" https://t.co/AHKMHusnwV'",380,0.0,0.0,3,0.0
65,2018-02-25 04:38:28,"b'RT @michaeltanoe: This teacher deserves an award. He was teaching about Microsoft Words without... you know, computer. https://t.co/fy1Ifjc\xe2\x80\xa6'",361,0.0,0.0,3,0.0
66,2018-02-25 04:38:22,"b""RT @UrAvgConsumer: Giveaway! \xf0\x9f\x8e\x89  As promised I am giving away TWO @Microsoft Surface Pros in honor of it's 5th anniversary. To enter 1) foll\xe2\x80\xa6""",1,0.0,0.0,3,0.0
67,2018-02-25 04:38:19,"b'RT @michaeltanoe: This teacher deserves an award. He was teaching about Microsoft Words without... you know, computer. https://t.co/fy1Ifjc\xe2\x80\xa6'",713,0.0,0.0,3,0.0
68,2018-02-25 04:38:12,b'CNN similarly referred to the pre-Nadella years as a \xe2\x80\x9clost decade\xe2\x80\x9d and described his success in growing Microsoft\xe2\x80\x99s\xe2\x80\xa6 https://t.co/O3FTh6ghrw',9611,0.15,0.2,3,0.0006678920931909511
69,2018-02-25 04:38:12,"b'Under his leadership, Microsoft has \xe2\x80\x9creversed its fortunes and returned to being a growth stock after stagnating fo\xe2\x80\xa6 https://t.co/7jV9HQttBE'",9611,0.0,0.0,3,0.0
70,2018-02-25 04:38:12,b'RT @ScottMAustin: $0 to $1 billion in annual revenue:\n\nGroupon - 3 years\nZynga - 4 yrs\nAmazon - 5 yrs\nGoogle - 5 yrs\nFacebook - 6 yrs\nSquar\xe2\x80\xa6',142,0.0,0.0,3,0.0
71,2018-02-25 04:38:11,"b'Nadella had a somewhat unlikely path to the top job at Microsoft. After 22 years at the company, when he was asked\xe2\x80\xa6 https://t.co/u2DNac9jwp'",9611,0.0,0.5,0,0.0
72,2018-02-25 04:38:11,"b'Nadella recently spoke at Wharton to discuss his new book, Hit Refresh: The Quest to Rediscover Microsoft\xe2\x80\x99s Soul an\xe2\x80\xa6 https://t.co/UkyimSmJC8'",9611,0.06818181818181818,0.3522727272727273,0,0.0005347276572551519
73,2018-02-25 04:38:09,b'natmark starred Microsoft/monaco-editor on Github https://t.co/d3rG0QE6cu',329,0.0,0.0,3,0.0
74,2018-02-25 04:38:09,"b'When Microsoft CEO Satya Nadella was a kid growing up in Hyderabad, India his father couldn\xe2\x80\x99t believe how poor his\xe2\x80\xa6 https://t.co/nFyUfagK7z'",9611,-0.4,0.6,4,-0.005343136745527609
75,2018-02-25 04:38:08,"b'RT @michaeltanoe: This teacher deserves an award. He was teaching about Microsoft Words without... you know, computer. https://t.co/fy1Ifjc\xe2\x80\xa6'",1441,0.0,0.0,3,0.0
76,2018-02-25 04:38:05,"b'RT @girlposts: ""This teacher deserves an award. He was teaching about Microsoft Word without... you know, computer."" https://t.co/AHKMHusnwV'",186,0.0,0.0,3,0.0
77,2018-02-25 04:37:59,"b'@netsolcares my company moved email from your server over to office365 thru microsoft, but one users emails/folders\xe2\x80\xa6 https://t.co/d7vQUn5aLv'",115,0.0,0.0,3,0.0
78,2018-02-25 04:37:54,b'@PeterHenry9999 @satyanadella @panos_panay @tmyerson @msdev @Microsoft @Senators I loved my Windows Phone - had a N\xe2\x80\xa6 https://t.co/Hz8HH73lTn',1208,0.7,0.8,2,0.0015670087857726025
79,2018-02-25 04:37:52,"b'""I love working with Microsoft Office."", said no one ever in the history of the world... #badux #bloatedsoftware'",834,0.5,0.6,2,0.0005795671685789751
80,2018-02-25 04:37:28,b'RT @PaulJFMaher: The @IndustryXp team at @Microsoft are looking for opportunities to engage with #insurtech - hot events and companies - wo\xe2\x80\xa6',1963,0.25,0.8500000000000001,0,0.0009662637881019679
81,2018-02-25 04:37:10,"b'RT @RickKing16: Facebook, Google, and Microsoft #AI gurus say AI will help workers, not replace them https://t.co/V1p2mxiy3e https://t.co/Y\xe2\x80\xa6'",233,0.0,0.0,3,0.0
82,2018-02-25 04:37:03,"b'RT @michaeltanoe: This teacher deserves an award. He was teaching about Microsoft Words without... you know, computer. https://t.co/fy1Ifjc\xe2\x80\xa6'",2172,0.0,0.0,3,0.0
83,2018-02-25 04:37:00,b'RT @ScottMAustin: $0 to $1 billion in annual revenue:\n\nGroupon - 3 years\nZynga - 4 yrs\nAmazon - 5 yrs\nGoogle - 5 yrs\nFacebook - 6 yrs\nSquar\xe2\x80\xa6',3090,0.0,0.0,3,0.0
84,2018-02-25 04:36:57,"b""Why can't I sign into my Xbox in more than 1 place? I won't buy a movie from the Microsoft store again. Can't downl\xe2\x80\xa6 https://t.co/VhANKpeTKM""",36,0.5,0.5,2,2.0847739876941556e-05
85,2018-02-25 04:36:56,b'RT @kubernan: Microsoft &amp; Xiaomi Team Up To Make AI-Powered Devices https://t.co/qLpg6S1uQh #Microsoft',3,0.0,0.0,3,0.0
86,2018-02-25 04:36:14,"b'RT @girlposts: ""This teacher deserves an award. He was teaching about Microsoft Word without... you know, computer."" https://t.co/AHKMHusnwV'",1109,0.0,0.0,3,0.0
87,2018-02-25 04:36:13,b'RT @jeffteper: @PrabhatNigamXHG We are investing in SharePoint more than ever. Team is largest it\xe2\x80\x99s been and growing. We shipped more featu\xe2\x80\xa6',1298,0.5,0.5,2,0.0007516768433408372
88,2018-02-25 04:36:07,b'RT @MikeTamir: \xe2\x80\x9cAutonomous Driving using End-to-End Deep Learning: an AirSim tutorial\xe2\x80\x9d https://t.co/iuKFQMsBWs #AI #DeepLearning #MachineLe\xe2\x80\xa6',420,0.0,0.4,0,0.0
89,2018-02-25 04:36:05,"b'RT @michaeltanoe: This teacher deserves an award. He was teaching about Microsoft Words without... you know, computer. https://t.co/fy1Ifjc\xe2\x80\xa6'",669,0.0,0.0,3,0.0
90,2018-02-25 04:35:57,"b'hey @EBGamesAus I know @SeaOfThieves is an ""xbox exclusive"" even though ive been playing it on my PC via the micros\xe2\x80\xa6 https://t.co/1WQPmnDCHa'",143,0.0,0.0,3,0.0
91,2018-02-25 04:35:47,"b'RT @girlposts: ""This teacher deserves an award. He was teaching about Microsoft Word without... you know, computer."" https://t.co/AHKMHusnwV'",81,0.0,0.0,3,0.0
92,2018-02-25 04:35:36,b'RT @MikeTamir: \xe2\x80\x9cAutonomous Driving using End-to-End Deep Learning: an AirSim tutorial\xe2\x80\x9d https://t.co/iuKFQMsBWs #AI #DeepLearning #MachineLe\xe2\x80\xa6',1383,0.0,0.4,0,0.0
93,2018-02-25 04:35:32,b'RT @MicrosoftSA: Stay ahead of your competition! Discover how Microsoft 365 Enterprise can transform your operations grow your business. Le\xe2\x80\xa6',4,0.0,0.0,3,0.0
94,2018-02-25 04:35:30,b'RT @MikeTamir: \xe2\x80\x9cAutonomous Driving using End-to-End Deep Learning: an AirSim tutorial\xe2\x80\x9d https://t.co/iuKFQMsBWs #AI #DeepLearning #MachineLe\xe2\x80\xa6',125,0.0,0.4,0,0.0
95,2018-02-25 04:35:21,b'Learning Math made fun with this App which you may download if you like it from Microsoft store!\xe2\x80\xa6 https://t.co/HGQgPgIpIV',439,0.3,0.2,0,6.101438537318229e-05
96,2018-02-25 04:35:20,"b'RT @girlposts: ""This teacher deserves an award. He was teaching about Microsoft Word without... you know, computer."" https://t.co/AHKMHusnwV'",1078,0.0,0.0,3,0.0
97,2018-02-25 04:35:13,b'RT @ScottMAustin: $0 to $1 billion in annual revenue:\n\nGroupon - 3 years\nZynga - 4 yrs\nAmazon - 5 yrs\nGoogle - 5 yrs\nFacebook - 6 yrs\nSquar\xe2\x80\xa6',903,0.0,0.0,3,0.0
98,2018-02-25 04:34:56,b'Also my stupid Windows 10 machine is STILL FUCKED thanks a lot @Microsoft - the windows update error is STILL makin\xe2\x80\xa6 https://t.co/KD9lHGKrF5',6239,-0.4,0.6333333333333333,4,-0.00366120286333708
99,2018-02-25 04:34:53,b'RT @MobiHealthNews: Microsoft researchers develop VR walking cane for people with visual impairments ICYMI https://t.co/D35gKxS3qW #Aim2Inn\xe2\x80\xa6',7545,0.0,0.0,3,0.0
100,2018-02-25 04:34:41,b'RT @TimMedin: Detecting Kerberoasting activity using Azure Security Center  https://t.co/R7qbgPDdn4',217,-0.1,0.1,3,-5.026621725884798e-06
101,2018-02-25 04:34:39,b'RT @kubernan: McAfee WebAdvisor Edge extension is now live for Windows 10 users https://t.co/Lz3hTrnuDE #Microsoft',3,0.13636363636363635,0.5,0,4.738122699304899e-07
102,2018-02-25 04:34:17,"b'RT @michaeltanoe: This teacher deserves an award. He was teaching about Microsoft Words without... you know, computer. https://t.co/fy1Ifjc\xe2\x80\xa6'",5,0.0,0.0,3,0.0
103,2018-02-25 04:34:06,"b'RT @michaeltanoe: This teacher deserves an award. He was teaching about Microsoft Words without... you know, computer. https://t.co/fy1Ifjc\xe2\x80\xa6'",753,0.0,0.0,3,0.0
104,2018-02-25 04:33:56,"b'RT @michaeltanoe: This teacher deserves an award. He was teaching about Microsoft Words without... you know, computer. https://t.co/fy1Ifjc\xe2\x80\xa6'",200,0.0,0.0,3,0.0
105,2018-02-25 04:33:49,"b'RT @michaeltanoe: This teacher deserves an award. He was teaching about Microsoft Words without... you know, computer. https://t.co/fy1Ifjc\xe2\x80\xa6'",1039,0.0,0.0,3,0.0
106,2018-02-25 04:33:47,b'https://t.co/kS2bV6fSqa :  Microsoft Weekly Bitten by bugs patented products and more Neowin https://t.co/Oa494Vz6ZS',725,0.5,0.5,2,0.00041985031696618413
107,2018-02-25 04:33:41,b'RT @bigpotplant: Haptic Links: Bimanual Haptics for #VR using variable stiffness actuation. From #Microsoft research. https://t.co/B0Qbm5nl\xe2\x80\xa6',10,0.0,0.0,3,0.0
108,2018-02-25 04:33:39,"b'@Microsoft Microsoft, who is @common talking to? I mean the auditorium is empty.  Holla back.'",1488,-0.178125,0.421875,0,-0.00025901688067422
109,2018-02-25 04:33:31,"b'RT @michaeltanoe: This teacher deserves an award. He was teaching about Microsoft Words without... you know, computer. https://t.co/fy1Ifjc\xe2\x80\xa6'",415,0.0,0.0,3,0.0
110,2018-02-25 04:33:21,b'RT @Darmour_MSFT: Some organizations require that their #AzureStack runs completely disconnected from the Internet.  Learn how to do this:\xe2\x80\xa6',2381,0.1,0.4,0,0.00022061541620887936
111,2018-02-25 04:33:12,"b'RT @michaeltanoe: This teacher deserves an award. He was teaching about Microsoft Words without... you know, computer. https://t.co/fy1Ifjc\xe2\x80\xa6'",397,0.0,0.0,3,0.0
112,2018-02-25 04:33:11,"b'RT @MicrosoftSA: Cloud computing is a key enabler of digital business transformation. Microsoft Cloud can help you deliver high-quality, co\xe2\x80\xa6'",4,0.0,0.5,0,0.0
113,2018-02-25 04:33:08,b'RT @ScottMAustin: $0 to $1 billion in annual revenue:\n\nGroupon - 3 years\nZynga - 4 yrs\nAmazon - 5 yrs\nGoogle - 5 yrs\nFacebook - 6 yrs\nSquar\xe2\x80\xa6',2151,0.0,0.0,3,0.0
114,2018-02-25 04:33:08,"b'RT @girlposts: ""This teacher deserves an award. He was teaching about Microsoft Word without... you know, computer."" https://t.co/AHKMHusnwV'",495,0.0,0.0,3,0.0
115,2018-02-25 04:33:07,"b'RT @girlposts: ""This teacher deserves an award. He was teaching about Microsoft Word without... you know, computer."" https://t.co/AHKMHusnwV'",607,0.0,0.0,3,0.0
116,2018-02-25 04:33:04,b'Unable to connect to Microsoft SQL Server https://t.co/r7MJjU1SeA',414,-0.5,0.5,4,-0.00023974900858482787
117,2018-02-25 04:33:02,"b""RT @VisualStudio: Need to know...! Here's your 1-stop guide to #Azure cloud services for mobile devs using #VisualStudio &amp; #Xamarin. https:\xe2\x80\xa6""",46,0.0,0.0,3,0.0
118,2018-02-25 04:33:01,b'RT @kubernan: McAfee WebAdvisor Edge extension is now live for Windows 10 users https://t.co/Lz3hTrnuDE #Microsoft',3,0.13636363636363635,0.5,0,4.738122699304899e-07
119,2018-02-25 04:32:54,"b'RT @michaeltanoe: This teacher deserves an award. He was teaching about Microsoft Words without... you know, computer. https://t.co/fy1Ifjc\xe2\x80\xa6'",17,0.0,0.0,3,0.0
120,2018-02-25 04:32:49,"b'RT @michaeltanoe: This teacher deserves an award. He was teaching about Microsoft Words without... you know, computer. https://t.co/fy1Ifjc\xe2\x80\xa6'",172,0.0,0.0,3,0.0
121,2018-02-25 04:32:43,"b'RT @michaeltanoe: This teacher deserves an award. He was teaching about Microsoft Words without... you know, computer. https://t.co/fy1Ifjc\xe2\x80\xa6'",655,0.0,0.0,3,0.0
