followers,polarity,sentiment_confidence,clusters,difference
210,0.166666667,0.661111111,1,0.000264454
160806,0,0,4,0
332,0.5,1,0,0.001897208
1746,0,0,4,0
3975,0.268181818,0.627272727,0,0.0076424
257,0,0,4,0
1194,0.6,1,0,0.008187711
2572,0,0,4,0
469,0,0,4,0
169,0,0,4,0
775,0,0,4,0
516,0,0,4,0
964,0,0,4,0
1258,0,0,4,0
725,-0.260416667,0.066666667,4,-0.000143854
1619,0,0.1,4,0
168,0,0,4,0
2,0,0,4,0
3230,0,0,4,0
1310,0,0,4,0
1241,0,0,4,0
366,0,0,4,0
278,0.2625,0.4,1,0.000333611
81,0,0,4,0
10741,0.268181818,0.627272727,0,0.020650823
350,0,0,4,0
775,0,0,4,0
2085,0,0,4,0
37,0,0,4,0
170,0,0.1,4,0
199,-0.6,0.9,3,-0.001228157
5,-0.75,1,3,-4.29E-05
15014,0.5,0.9,0,0.077217517
37,0,0,4,0
22131,0.2,0.5,1,0.025293443
121,-0.066666667,0.85,1,-7.84E-05
72,0,0,4,0
268,0,0,4,0
2085,0,0,4,0
39,0.4,0.8,0,0.000142633
455,0.284090909,0.351136364,1,0.000518742
44368,0,0,4,0
139,0,0,4,0
2049,-0.1,0.5,1,-0.001170897
11,-0.466666667,0.666666667,3,-3.91E-05
1110,0,0,4,0
12,0,0,4,0
61,0,0,4,0
489,0,0,4,0
148,-0.15,0.4,1,-0.000101489
1021,0,0,4,0
988,0,0,4,0
1628,0.5,0.5,0,0.004651589
2064,0,0,4,0
1813,0,0,4,0
553,0,0,4,0
17869,0,0,4,0
47,0,0,4,0
2897,0,0.1,4,0
537,1,0.3,0,0.001841206
3186,-0.2,0.35,1,-0.002548888
1,0,0,4,0
134,0,0,4,0
2085,0,0,4,0
3294,0,0,4,0
39,0,0,4,0
200,0,0,4,0
1350,0.5,0.5,0,0.003857276
60829,0.118181818,0.427272727,1,0.035105359
38,0,0,4,0
380,-0.15,0.4,1,-0.00026058
376,0,0,4,0
41,0,0,4,0
58,0.4,0.5,0,0.000132576
1793,0,0,4,0
4782,0.375,0.5,0,0.010247496
1966,0.55,0.7,0,0.008650698
161,0,0,4,0
279,0,0,4,0
714,0,0,4,0
1282,0,0,4,0
18350,0,0,4,0
122,0,0,4,0
3317,0.5,0.5,0,0.009477469
2569,0,0,4,0
97,0,0,4,0
1735,-0.0625,0.3125,1,-0.00038729
33,0.15,0.3,1,1.70E-05
8,0,0,4,0
2085,0,0,4,0
349,-0.375,0.7,3,-0.001047036
484,-0.05,0.716666667,1,-0.000198216
3191,0.5,0.65,0,0.011852694
5304,0.068181818,0.75,1,0.003099847
7,-0.75,1,3,-6.00E-05
75,0.2,0.3,1,5.14E-05
288,0.068181818,0.75,1,0.000168317
849,0.125,0.95,1,0.001152254
2446,0.13,0.32,1,0.001162938
716,0.075,0.40625,1,0.00024933
78,0,0,4,0
436,0,0,4,0
1523,0,0,4,0
1,-0.75,1,3,-8.57E-06
296,-0.466666667,0.666666667,3,-0.001052481
65,0,0,4,0
1377,0,0,4,0
32,0.15625,0.1125,4,6.43E-06
147,0,0,4,0
1026,0.5,0.8,0,0.004690447
1318,0,0,4,0
360161,0,1,2,0
1862,0.16,0.54,1,0.001838655
92,0.55,1,0,0.000578306
1750,-0.119318182,0.477272727,1,-0.001138986
73,0,0,4,0
1025,0,0,4,0
14,0.1,0.4,1,6.40E-06
31,0.15625,0.1125,4,6.23E-06
17,0.4,0.9,0,6.99E-05
1060,0,0.375,1,0
943,0.286931818,0.525,0,0.001623516
106,0,0,4,0
1528,0.416666667,0.5,0,0.003638221
6001,0,0,4,0
98,0,0,4,0
139,0,0,4,0
341,0,0,4,0
98,0.266666667,0.5,1,0.000149338
6001,0,0,4,0
7,0,0,4,0
575,-0.05,0.716666667,1,-0.000235484
31505,0.5,1,0,0.180034772
7967,0.8,0.75,0,0.054632739
